철도운영기관명,선명,역명,출구번호,출구별 주요시설명
서울교통공사,1호선,제기동,6,동부시립병원
서울교통공사,1호선,제기동,6,한국항공전문학교
서울교통공사,1호선,제기동,6,용두 초등학교
서울교통공사,1호선,제기동,6,용두2동 사무소
서울교통공사,1호선,제기동,6,대우아이오오피스텔
서울교통공사,1호선,종각,1,미국대사관
서울교통공사,1호선,종각,1,종로소방서
서울교통공사,1호선,종각,1,종로구청
서울교통공사,1호선,종각,1,외교통상부 여권/이주/영사과
서울교통공사,1호선,종각,1,국세청
서울교통공사,1호선,종각,1,서울시 소방방재본부
서울교통공사,1호선,종각,1,르메이에르종로센터빌딩
서울교통공사,1호선,종각,2,조계사
서울교통공사,1호선,종각,2,SC제일은행본점빌딩
서울교통공사,1호선,종각,3,종로타워빌딩
서울교통공사,1호선,종각,3,장애인공단 서울지사
서울교통공사,1호선,종각,3,서울기독교 청년회
서울교통공사,1호선,종각,3,하나은행
서울교통공사,1호선,종각,03월 01일,공평동
서울교통공사,1호선,종각,4,서울지방노동청
서울교통공사,1호선,종각,4,서울종합고용지원센터
서울교통공사,1호선,종각,4,한국산업은행
서울교통공사,1호선,종각,5,한국관광공사
서울교통공사,1호선,종각,5,예금보험공사
서울교통공사,1호선,종각,6,광화문 우체국
서울교통공사,1호선,종각,6,영풍빌딩
서울교통공사,1호선,종각,6,SK서린빌딩
서울교통공사,1호선,종각,6,국민연금 종로중구 지사
서울교통공사,1호선,종각,6,알파빌딩
서울교통공사,1호선,종각,6,한국수출보험공사
서울교통공사,1호선,종로3가,1,탑골공원
서울교통공사,1호선,종로3가,1,종로2가파출소
서울교통공사,1호선,종로3가,1,종로2가 우체국
서울교통공사,1호선,종로3가,1,종로1/2/3/4가동 행정복지센터
서울교통공사,1호선,종로3가,1,낙원상가
서울교통공사,1호선,종로3가,10,종로3가파출소
서울교통공사,1호선,종로3가,10,창덕궁
서울교통공사,1호선,종로3가,10,종로3가소방파출소
서울교통공사,1호선,종로3가,11,종묘
서울교통공사,1호선,종로3가,12,세운상가
서울교통공사,1호선,종로3가,13,장사동
