역명,엘리베이터,에스컬레이터,화장실개수,출구개수
쌍문,3,6,1,4
아차산,3,8,1,5
아현,4,2,1,4
안국,2,10,1,6
안암,3,6,2,4
암사,3,4,1,4
암사역사공원,0,0,1,3
압구정,4,9,1,6
애오개,5,6,1,4
약수,6,13,2,10
양재,5,2,1,12
양천구청,3,2,1,2
양평,3,8,1,2
어린이대공원,4,6,1,6
여의나루,3,11,1,4
여의도,2,4,1,6
역삼,4,14,1,8
역촌,2,6,1,4
연신내,3,10,2,7
영등포구청,8,18,2,7
영등포시장,3,8,1,4
오금,8,22,3,7
오목교,3,10,1,8
옥수,3,4,2,7
온수,3,16,1,8
올림픽공원,3,4,1,3
왕십리,5,16,2,14
용답,2,0,1,2
용두,4,12,4,5
용마산,3,8,1,3
우장산,3,4,1,4
월곡,3,12,1,5
월드컵경기장,3,12,2,3
을지로3가,4,2,2,12
을지로4가,4,13,2,10
을지로입구,4,6,1,13
응암,2,4,1,4
이대,3,4,1,6
이수,3,23,2,0
이촌,5,4,1,6
이태원,2,4,1,4
일원,4,6,1,7
자양,3,4,0,4
잠실,7,13,2,12
잠실나루,2,4,1,4
잠실새내,4,11,1,8
잠원,3,0,1,4
장승배기,3,14,1,6
장암,2,0,1,1
장자호수공원,0,0,0,6
장지,4,8,1,4
장한평,3,4,1,8
제기동,3,2,1,6
종각,4,2,2,7
종로3가,7,20,4,16
종로5가,3,0,1,8
종합운동장,3,5,2,9
중계,3,10,1,6
중곡,3,4,1,4
중화,3,6,1,4
증산,3,6,1,4
지축,1,0,0,2
창동,8,6,1,2
창신,3,3,1,4
천왕,4,6,1,4
천호,6,16,1,10
철산,4,6,1,4
청구,5,10,1,3
청담,2,16,1,14
청량리,2,6,1,6
총신대입구,4,4,1,14
충무로,4,23,1,8
충정로,4,8,2,10
태릉입구,6,24,2,8
하계,3,6,1,6
하남검단산,4,20,1,0
하남시청,4,28,1,0
하남풍산,5,24,1,0
학동,3,10,1,10
학여울,3,2,1,1
한강진,3,4,1,3
한성대입구,3,2,1,7
한양대,2,2,1,4
합정,7,16,2,10
행당,3,8,1,4
혜화,4,4,1,4
홍대입구,2,8,1,9
홍제,3,0,2,4
화곡,2,4,1,8
화랑대,5,4,1,7
회현,2,6,1,7
효창공원앞,2,6,1,6
