역명,출구개수,화장실개수,엘리베이터,TE(화장실/출구),LE(엘리베이터/출구),"H(조화평균, TE·LE)"
한성대입구,7,1,3,0.14,0.43,0.21
교대,14,2,5,0.14,0.36,0.2
군자,8,1,4,0.12,0.5,0.2
답십리,8,1,4,0.12,0.5,0.2
뚝섬,8,1,4,0.12,0.5,0.2
마들,8,1,4,0.12,0.5,0.2
상계,5,1,1,0.2,0.2,0.2
서초,8,1,4,0.12,0.5,0.2
신사,8,1,4,0.12,0.5,0.2
신촌,8,1,4,0.12,0.5,0.2
역삼,8,1,4,0.12,0.5,0.2
왕십리,14,2,5,0.14,0.36,0.2
잠실새내,8,1,4,0.12,0.5,0.2
충무로,8,1,4,0.12,0.5,0.2
거여,8,1,3,0.12,0.38,0.19
낙성대,8,1,3,0.12,0.38,0.19
남부터미널,8,1,3,0.12,0.38,0.19
대청,8,1,3,0.12,0.38,0.19
돌곶이,8,1,3,0.12,0.38,0.19
목동,8,1,3,0.12,0.38,0.19
미아,8,1,3,0.12,0.38,0.19
서대문,8,1,3,0.12,0.38,0.19
서울,16,2,6,0.12,0.38,0.19
서울대입구,8,1,3,0.12,0.38,0.19
석촌,8,1,3,0.12,0.38,0.19
수유,8,1,3,0.12,0.38,0.19
신림,8,1,3,0.12,0.38,0.19
오목교,8,1,3,0.12,0.38,0.19
온수,8,1,3,0.12,0.38,0.19
장한평,8,1,3,0.12,0.38,0.19
종로5가,8,1,3,0.12,0.38,0.19
회현,7,1,2,0.14,0.29,0.19
경복궁,8,1,2,0.12,0.25,0.17
대치,8,1,2,0.12,0.25,0.17
발산,9,1,3,0.11,0.33,0.17
보라매,8,1,2,0.12,0.25,0.17
천호,10,1,6,0.1,0.6,0.17
화곡,8,1,2,0.12,0.25,0.17
고속터미널,10,1,4,0.1,0.4,0.16
광명사거리,10,1,3,0.1,0.3,0.15
광화문,9,1,2,0.11,0.22,0.15
길음,10,1,3,0.1,0.3,0.15
동작,9,1,2,0.11,0.22,0.15
선릉,10,1,3,0.1,0.3,0.15
숙대입구,10,1,3,0.1,0.3,0.15
학동,10,1,3,0.1,0.3,0.15
홍대입구,9,1,2,0.11,0.22,0.15
양재,12,1,5,0.08,0.42,0.14
강남,12,1,4,0.08,0.33,0.13
명동,10,1,2,0.1,0.2,0.13
당산,13,1,4,0.08,0.31,0.12
모란,12,1,3,0.08,0.25,0.12
보문,8,1,1,0.12,0.12,0.12
을지로입구,13,1,4,0.08,0.31,0.12
총신대입구,14,1,4,0.07,0.29,0.11
청담,14,1,2,0.07,0.14,0.1
