ID,MLSFC_NM,POI_ID,POI_NM,CL_CD,CL_NM,CTPRVN_NM,SIGNGU_NM,위도,경도
99,문화시설,1034365,세일아트홀,100203,공연/연극/문화센터,서울특별시,강남구,37.49724977,127.0390608
100,문화시설,1034367,프라임아트홀,100203,공연/연극/문화센터,서울특별시,구로구,37.50696774,126.8903039
101,문화시설,1034368,하모니아트홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58101767,127.0039535
102,문화시설,1034372,레몬아트홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58226699,127.0025326
103,문화시설,1034374,서울호서아트홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58449097,127.0011441
104,문화시설,1034382,와우책문화예술센터,100204,대형예술센터,서울특별시,마포구,37.54931589,126.921929
105,문화시설,1034383,아르코예술극장,100204,대형예술센터,서울특별시,종로구,37.58119891,127.0029426
106,문화시설,1035307,충숙공이상길묘역,100102,대형기념관/묘역,서울특별시,노원구,37.64110474,127.0792751
107,문화시설,1035308,여계묘역,100102,대형기념관/묘역,서울특별시,구로구,37.50721981,126.8561202
108,문화시설,1035309,문희공유창묘역,100102,대형기념관/묘역,서울특별시,강동구,37.5472898,127.1693784
109,문화시설,1035328,완성군이귀정묘역,100102,대형기념관/묘역,서울특별시,동작구,37.50627439,126.9639109
110,문화시설,1035334,벽진이씨충숙공묘역,100102,대형기념관/묘역,서울특별시,노원구,37.64042538,127.0772774
111,문화시설,1035338,거창신씨묘역,100102,대형기념관/묘역,서울특별시,송파구,37.50191412,127.1305894
112,문화시설,1035343,청년미술관,100105,미술관,서울특별시,종로구,37.57431926,126.9851831
113,문화시설,1035345,워커힐미술관,100105,미술관,서울특별시,광진구,37.55525583,127.1107569
114,문화시설,1035349,동방플라자미술관,100105,미술관,서울특별시,중구,37.56162784,126.975009
115,문화시설,1035362,예송미술관,100105,미술관,서울특별시,송파구,37.50211483,127.0932147
116,문화시설,1035372,국민체육진흥공단미술관,100105,미술관,서울특별시,송파구,37.52228677,127.1164868
117,문화시설,1035380,한국문화재신문미술관,100105,미술관,서울특별시,종로구,37.57047791,126.9799816
118,문화시설,1035396,살아있는미술관,100105,미술관,서울특별시,강남구,37.51335328,127.0651424
119,문화시설,1035462,더굿씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58399316,127.0020634
120,문화시설,1036120,NH아트홀,100203,공연/연극/문화센터,서울특별시,중구,37.56581976,126.9676479
121,문화시설,1036121,충정공목서흠묘역,100102,대형기념관/묘역,서울특별시,도봉구,37.66267924,127.0244287
122,문화시설,1036122,광주이씨광릉부원군파묘역,100102,대형기념관/묘역,서울특별시,강동구,37.56317463,127.1436026
123,문화시설,1036124,영산군이전묘역,100102,대형기념관/묘역,서울특별시,은평구,37.65183492,126.9454828
124,문화시설,1036487,해빛,100203,공연/연극/문화센터,서울특별시,종로구,37.57609116,126.9838708
125,문화시설,1038042,아시아고아트홀,100203,공연/연극/문화센터,서울특별시,강남구,37.52217532,127.0316931
126,문화시설,1039259,센트럴시티밀레니엄홀,100203,공연/연극/문화센터,서울특별시,서초구,37.50455543,127.0044747
127,문화시설,1039267,마리아칼라스홀,100203,공연/연극/문화센터,서울특별시,강남구,37.50248904,127.0660539
128,문화시설,1039318,소통홀,100203,공연/연극/문화센터,서울특별시,마포구,37.55448334,126.9385572
129,문화시설,1039369,아트센터K,100203,공연/연극/문화센터,서울특별시,종로구,37.58254454,127.0039747
130,문화시설,1039826,압구정예홀,100203,공연/연극/문화센터,서울특별시,강남구,37.52791448,127.0362289
131,문화시설,1039863,인디팬,100203,공연/연극/문화센터,서울특별시,마포구,37.54756358,126.9211372
132,문화시설,1040038,국립중앙박물관국립한글박물관,100101,대형전시/박물관,서울특별시,용산구,37.52116313,126.9808156
133,문화시설,1040184,스마트컨텐츠,100103,기타전시/박물관,서울특별시,강남구,37.5118695,127.0593153
134,문화시설,1040371,한국가곡예술마을,100203,공연/연극/문화센터,서울특별시,강남구,37.47488588,127.0508231
135,문화시설,1040637,명동난타극장,100203,공연/연극/문화센터,서울특별시,중구,37.56348167,126.9837237
136,문화시설,1040888,롯데시네마,100209,롯데시네마,서울특별시,마포구,37.5503732,126.9134906
137,문화시설,1042251,가든씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58227278,127.0028168
138,문화시설,1042684,동대문역사문화공원동대문운동장기념관,100103,기타전시/박물관,서울특별시,중구,37.56769123,127.0114031
139,문화시설,1042757,스페이스오뉴월,100105,미술관,서울특별시,성북구,37.59443604,126.9994199
140,문화시설,1043050,대학로뮤지컬센터,100203,공연/연극/문화센터,서울특별시,종로구,37.58296133,127.0044266
141,문화시설,1043123,CJ아지트,100203,공연/연극/문화센터,서울특별시,마포구,37.5442466,126.9303439
142,문화시설,1043396,3D블랙아트,100103,기타전시/박물관,서울특별시,광진구,37.54802713,127.0760913
143,문화시설,1043397,아라아트,100103,기타전시/박물관,서울특별시,종로구,37.57339986,126.9836305
144,문화시설,1043507,갤러리품,100105,미술관,서울특별시,중구,37.56761322,126.9692813
145,문화시설,1043601,타,100203,공연/연극/문화센터,서울특별시,마포구,37.550314,126.9224724
146,문화시설,1043602,PMC소극장,100203,공연/연극/문화센터,서울특별시,종로구,37.58301658,127.002647
147,문화시설,1043606,열린문화공간,100203,공연/연극/문화센터,서울특별시,용산구,37.55302758,126.9676922
148,문화시설,1043608,연극사랑솔나무극장,100203,공연/연극/문화센터,서울특별시,종로구,37.58248257,126.9992233
149,문화시설,1043610,노을소극장,100203,공연/연극/문화센터,서울특별시,종로구,37.58303774,127.0032188
150,문화시설,1043611,아시조,100203,공연/연극/문화센터,서울특별시,종로구,37.58299374,127.0030439
151,문화시설,1043612,풀빛극장,100203,공연/연극/문화센터,서울특별시,종로구,37.5802969,127.0035121
152,문화시설,1043613,공간아울,100203,공연/연극/문화센터,서울특별시,종로구,37.58190456,127.002277
153,문화시설,1043615,스카이씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.5829899,127.002647
154,문화시설,1043617,카마씨어터,100203,공연/연극/문화센터,서울특별시,강남구,37.52527271,127.0401733
155,문화시설,1043618,숨씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58312353,126.9992043
156,문화시설,1043619,해피씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58187223,127.0025612
157,문화시설,1043624,효천아트센터,100203,공연/연극/문화센터,서울특별시,종로구,37.5900167,126.9982621
158,문화시설,1043627,최양업홀,100203,공연/연극/문화센터,서울특별시,중구,37.55884887,126.9677571
159,문화시설,1043633,씽크타운,100203,공연/연극/문화센터,서울특별시,서초구,37.50452487,127.0044328
160,문화시설,1043635,반줄,100203,공연/연극/문화센터,서울특별시,종로구,37.56911792,126.9861691
161,문화시설,1043638,라이브클럽쌤,100203,공연/연극/문화센터,서울특별시,마포구,37.55395119,126.929627
162,문화시설,1043639,내여페,100203,공연/연극/문화센터,서울특별시,종로구,37.58226699,127.0025326
163,문화시설,1043651,바로아트,100106,소형갤러리,서울특별시,양천구,37.52796424,126.8611101
164,문화시설,1043704,청담아트센터,100105,미술관,서울특별시,강남구,37.5270497,127.0456843
165,문화시설,1043778,M극장,100203,공연/연극/문화센터,서울특별시,강남구,37.47372228,127.0529287
166,문화시설,1044126,지즐소극장,100203,공연/연극/문화센터,서울특별시,종로구,37.58467994,126.9996659
167,문화시설,1044139,코엑스홀D,100203,공연/연극/문화센터,서울특별시,강남구,37.51247987,127.0583159
168,문화시설,1044176,홍익대학교대학로아트센터,100203,공연/연극/문화센터,서울특별시,종로구,37.57663839,127.001451
169,문화시설,1044773,경향신문문화센터,100203,공연/연극/문화센터,서울특별시,관악구,37.47717442,126.9151525
170,문화시설,1044820,상상나눔씨어터,100203,공연/연극/문화센터,서울특별시,구로구,37.50004208,126.8840782
171,문화시설,1045082,아츠플레이씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58229574,127.0025955
172,문화시설,1045084,엠스테이지,100203,공연/연극/문화센터,서울특별시,강남구,37.49862759,127.0280566
173,문화시설,1046427,어쿠스틱홀릭,100203,공연/연극/문화센터,서울특별시,마포구,37.55525967,126.9285074
174,문화시설,1046614,유중아트센터,100103,기타전시/박물관,서울특별시,서초구,37.48953132,126.9928357
175,문화시설,1047571,팀프리뷰,100103,기타전시/박물관,서울특별시,마포구,37.55615239,126.9264493
176,문화시설,1048337,드림시어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58301658,127.002647
177,문화시설,1049909,충정로난타극장,100203,공연/연극/문화센터,서울특별시,서대문구,37.56021651,126.9623307
178,문화시설,1050825,대학로올래홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58161284,127.0035492
179,문화시설,1053868,인간과로봇과학관,100103,기타전시/박물관,서울특별시,송파구,37.51198554,127.0870618
180,문화시설,1054038,더씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.57408832,127.0017123
181,문화시설,1054854,아트클럽1563,100106,소형갤러리,서울특별시,서초구,37.48830266,127.0118769
