연도,CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
2019,서울특별시,성북구,11290,399799,공연장,227.23999999999995,267.28,202.80000000000004,144.56,139.88,127.92,99.32000000000004,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,동작구,11590,367752,공연장,78.65999999999998,92.52,70.20000000000002,50.040000000000006,48.42,44.28,34.38000000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,은평구,11380,396567,공연장,34.959999999999994,41.12,31.200000000000006,22.24,21.52,19.68,15.280000000000005,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,중랑구,11260,341363,공연장,8.739999999999998,10.28,7.800000000000002,5.5600000000000005,5.38,4.92,3.820000000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강남구,11680,505401,공연장,559.3599999999999,657.92,499.2000000000001,355.84000000000003,344.32,314.88,244.48000000000008,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,서대문구,11410,303209,공연장,218.5,257.0,195.00000000000003,139.0,134.5,123.0,95.50000000000004,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,송파구,11710,576337,공연장,131.09999999999997,154.2,117.00000000000004,83.4,80.7,73.8,57.30000000000002,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,종로구,11110,158922,공연장,1747.9999999999998,2056.0,1560.0000000000002,1112.0,1076.0,984.0,764.0000000000002,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,도봉구,11320,283632,공연장,34.959999999999994,41.12,31.200000000000006,22.24,21.52,19.68,15.280000000000005,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,서초구,11650,379715,공연장,323.37999999999994,380.36,288.6000000000001,205.72000000000003,199.06,182.04,141.34000000000003,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,영등포구,11560,409966,공연장,209.76,246.72,187.20000000000005,133.44,129.12,118.08,91.68000000000004,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,관악구,11620,496234,공연장,26.219999999999995,30.84,23.40000000000001,16.68,16.14,14.76,11.460000000000004,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,구로구,11530,421723,공연장,87.39999999999998,102.8,78.00000000000001,55.60000000000001,53.8,49.2,38.20000000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,동대문구,11230,342190,공연장,96.14,113.08,85.80000000000001,61.16,59.18,54.12,42.02000000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강동구,11740,368272,공연장,43.69999999999999,51.4,39.00000000000001,27.800000000000004,26.9,24.6,19.100000000000005,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,동작구,11590,367752,박물관,19.0,10.0,13.5,10.9,7.4,6.5,4.1,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,구로구,11530,421723,박물관,19.0,10.0,13.5,10.9,7.4,6.5,4.1,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,용산구,11170,234036,박물관,133.0,70.0,94.5,76.3,51.8,45.5,28.7,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,서초구,11650,379715,박물관,95.0,50.0,67.5,54.5,37.0,32.5,20.5,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,동대문구,11230,342190,박물관,95.0,50.0,67.5,54.5,37.0,32.5,20.5,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,성동구,11200,277683,박물관,57.0,30.0,40.5,32.7,22.200000000000003,19.5,12.3,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,마포구,11440,347364,박물관,114.0,60.0,81.0,65.4,44.400000000000006,39.0,24.6,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,노원구,11350,454708,박물관,38.0,20.0,27.0,21.8,14.8,13.0,8.2,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,도봉구,11320,283632,박물관,38.0,20.0,27.0,21.8,14.8,13.0,8.2,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,서대문구,11410,303209,박물관,133.0,70.0,94.5,76.3,51.8,45.5,28.7,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강남구,11680,505401,박물관,171.0,90.0,121.5,98.1,66.60000000000001,58.5,36.9,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,관악구,11620,496234,박물관,38.0,20.0,27.0,21.8,14.8,13.0,8.2,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,광진구,11215,340406,박물관,57.0,30.0,40.5,32.7,22.200000000000003,19.5,12.3,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강북구,11305,271739,박물관,57.0,30.0,40.5,32.7,22.200000000000003,19.5,12.3,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,송파구,11710,576337,박물관,95.0,50.0,67.5,54.5,37.0,32.5,20.5,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,성북구,11290,399799,박물관,133.0,70.0,94.5,76.3,51.8,45.5,28.7,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,종로구,11110,158922,박물관,703.0,370.0,499.5,403.3,273.8,240.5,151.7,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,중구,11140,139469,박물관,304.0,160.0,216.0,174.4,118.4,104.0,65.6,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,은평구,11380,396567,박물관,38.0,20.0,27.0,21.8,14.8,13.0,8.2,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,영등포구,11560,409966,박물관,57.0,30.0,40.5,32.7,22.200000000000003,19.5,12.3,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강동구,11740,368272,박물관,19.0,10.0,13.5,10.9,7.4,6.5,4.1,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강서구,11500,502947,박물관,19.0,10.0,13.5,10.9,7.4,6.5,4.1,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2020,서울특별시,강남구,11680,539838,도서관,548.6,548.6,373.1,305.5,176.8,109.2,109.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강동구,11740,458604,도서관,337.6,337.6,229.6,188.0,108.8,67.2,67.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강북구,11305,308569,도서관,295.4,295.4,200.9,164.5,95.2,58.8,58.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강서구,11500,581909,도서관,379.8,379.8,258.3,211.5,122.4,75.6,75.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,관악구,11620,496059,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,광진구,11215,347285,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,구로구,11530,405194,도서관,464.2,464.2,315.7,258.5,149.6,92.4,92.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,금천구,11545,232003,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,노원구,11350,523708,도서관,464.2,464.2,315.7,258.5,149.6,92.4,92.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,도봉구,11320,326082,도서관,253.2,253.2,172.2,141.0,81.6,50.4,50.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,동대문구,11230,343377,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,동작구,11590,391896,도서관,253.2,253.2,172.2,141.0,81.6,50.4,50.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,마포구,11440,372320,도서관,253.2,253.2,172.2,141.0,81.6,50.4,50.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,서대문구,11410,312325,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,서초구,11650,425431,도서관,253.2,253.2,172.2,141.0,81.6,50.4,50.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
