역명,출구개수,월별총합계(21.7~23.12),집계일수,일일평균하차인원,위도,경도,자치구,평균값을 바탕으로 수치,매핑기준점수,수요지수,편의시설비율,화장실비율,인프라점수,인프라지수,수요지수+인프라지수
하계,4,1934672,652,2967,37.636363,127.067999,노원구,3,0,3,2.25,5.75,8,3,6
천호,10,3896092,1304,2988,37.53792,127.123179,강동구,3,0,3,2.2,3.8,6,3,6
증산,4,1330913,652,2041,37.583989,126.909785,은평구,3,0,3,2.25,6.5,8.75,3,6
중계,4,1540588,652,2363,37.645052,127.064084,노원구,3,0,3,3.25,6.5,9.75,3,6
장승배기,6,1324311,652,2031,37.504845,126.939025,동작구,3,0,3,2.833333333,3.333333333,6.166666667,3,6
잠실새내,10,2158536,652,3311,37.520731,127.103738,송파구,4,0,4,1.5,2.7,4.2,2,6
을지로입구,7,1700800,652,2609,37.565998,126.982569,중구,3,1,4,1.428571429,3.571428571,5,2,6
월곡,4,1314005,652,2015,37.60192,127.041492,성북구,3,0,3,4,5,9,3,6
성신여대입구,6,1576123,652,2417,37.592782,127.017338,성북구,3,1,4,1.333333333,4.166666667,5.5,2,6
성수,8,1799822,652,2760,37.544628,127.055983,성동구,3,1,4,1.5,3,4.5,2,6
석계,8,1444149,652,2215,37.614937,127.065922,노원구,3,0,3,2.75,4.25,7,3,6
새절,4,1634187,652,2506,37.591148,126.913613,은평구,3,0,3,2,4,6,3,6
상계,6,2147553,652,3294,37.660576,127.073199,노원구,4,0,4,0.833333333,3.666666667,4.5,2,6
불광,8,3476424,1304,2666,37.610919,126.929504,은평구,3,0,3,2.875,4.625,7.5,3,6
봉천,8,2687821,652,4122,37.482416,126.941896,관악구,5,0,5,1.25,2.125,3.375,1,6
문래,6,1633916,652,2506,37.517993,126.894766,영등포구,3,0,3,1.333333333,4.666666667,6,3,6
명일,4,1385948,652,2126,37.551317,127.144002,강동구,3,0,3,1.25,4.75,6,3,6
마들,6,1624566,652,2492,37.664985,127.057701,노원구,3,0,3,2.166666667,4.666666667,6.833333333,3,6
동대문,10,5003826,1304,3837,37.5708397,127.009403,종로구,4,0,4,1.6,4.2,5.8,2,6
대림,12,3007554,1304,2306,37.492984,126.896997,영등포구,3,0,3,2.25,4.333333333,6.583333333,3,6
녹번,4,1441623,652,2211,37.600882,126.935758,은평구,3,0,3,1.25,6,7.25,3,6
노원,14,3995018,1304,3064,37.654478,127.060555,노원구,4,0,4,2.142857143,3.5,5.642857143,2,6
내방,6,1396406,652,2142,37.48764,126.993541,서초구,3,0,3,2.5,3.5,6,3,6
낙성대,8,1982356,652,3040,37.47693,126.963783,관악구,4,0,4,1.375,3.375,4.75,2,6
길음,8,2198551,652,3372,37.604087,127.025353,성북구,4,0,4,0.75,3.5,4.25,2,6
길동,4,1468066,652,2252,37.538022,127.140085,강동구,3,0,3,1.5,4.5,6,3,6
공릉,6,1313398,652,2014,37.625642,127.072969,노원구,3,1,4,1.833333333,2.833333333,4.666666667,2,6
강동,6,1924053,652,2951,37.53581,127.13249,강동구,3,0,3,2.333333333,5,7.333333333,3,6
한성대입구,6,1370954,652,2103,37.58838,127.006751,성북구,3,1,4,0.833333333,3,3.833333333,1,5
총신대입구,14,3064069,652,4699,37.485258,126.981766,동작구,5,0,5,0.571428571,1.357142857,1.928571429,0,5
일원,6,1332349,652,2043,37.48389,127.08416,강남구,3,0,3,1.666666667,3,4.666666667,2,5
응암,6,2160508,652,3314,37.59859,126.915583,은평구,4,0,4,1,2.666666667,3.666666667,1,5
오목교,6,1606204,652,2464,37.524557,126.875049,양천구,3,0,3,2.166666667,2.5,4.666666667,2,5
영등포시장,6,1327678,652,2036,37.52276,126.905143,영등포구,3,0,3,1.833333333,3.5,5.333333333,2,5
아차산,6,1717630,652,2634,37.552005,127.089609,광진구,3,0,3,1.833333333,3.5,5.333333333,2,5
신사,6,1330919,652,2041,37.516438,127.020247,강남구,3,0,3,1.666666667,3.333333333,5,2,5
신대방삼거리,8,1760593,652,2700,37.499717,126.928218,동작구,3,0,3,2,2,4,2,5
서초,8,1582653,652,2427,37.49191,127.007945,서초구,3,0,3,1.5,2.875,4.375,2,5
미아,8,2101773,652,3224,37.626435,127.026151,강북구,4,0,4,1.125,2,3.125,1,5
망원,4,1591417,652,2441,37.556031,126.910129,마포구,3,0,3,1,3.75,4.75,2,5
답십리,8,1449804,652,2224,37.566833,127.05266,성동구,3,0,3,1.125,3,4.125,2,5
굽은다리,4,1315234,652,2017,37.545442,127.142844,강동구,3,0,3,1.75,4,5.75,2,5
구파발,8,2168864,652,3326,37.636612,126.918827,은평구,4,0,4,0.75,2,2.75,1,5
광화문,8,1420899,652,2179,37.570545,126.976568,종로구,3,1,4,0.75,2.25,3,1,5
가산디지털단지,8,1498115,652,2298,37.480376,126.882704,금천구,3,0,3,2.75,2.75,5.5,2,5
장한평,8,1723798,652,2644,37.561438,127.064601,동대문구,3,0,3,1,2.5,3.5,1,4
암사,8,1953384,652,2996,37.550127,127.127521,강동구,3,0,3,0.875,2.375,3.25,1,4
신풍,8,1338816,652,2053,37.500107,126.909806,영등포구,3,0,3,1,1.875,2.875,1,4
수서,10,1948828,652,2989,37.487507,127.101324,강남구,3,0,3,1.6,2.1,3.7,1,4
방배,8,1479823,652,2270,37.481469,126.997627,서초구,3,0,3,0.625,2.5,3.125,1,4
목동,6,1596311,652,2448,37.526088,126.864296,양천구,3,0,3,1.166666667,2.666666667,3.833333333,1,4
고덕,8,1428170,652,2190,37.555002,127.154214,강동구,3,0,3,1.25,1.75,3,1,4
